coefficients,x_known,y_known,z_known,e_known,hyperparameter,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand
"[ 0.10612471  1.71896088  0.56220357 -0.08254144  1.59916325  0.25471404
 -0.62495663  1.5822363   0.5430525   0.69570644  1.4949084   0.32318838]","[1.28 1.28 1.28 1.28 1.28 1.28 1.28 1.42 1.42 1.42 1.42 1.42 1.42 1.78
 1.78 1.78 1.78 1.85 1.85 1.85 1.85 1.85 1.85 1.85]","[-0.74 -0.52 -0.13 -0.12  0.24  0.39  0.83 -0.61 -0.35 -0.18  0.17  0.3
  0.81 -0.64 -0.4   0.03  0.71 -0.8  -0.39 -0.18 -0.08  0.2   0.37  0.73]","[ 0.06514286  0.48237664  0.39568345  0.34619507 -0.01646091 -0.13019391
 -0.07239264  0.38095238  0.59698682  0.49103943 -0.0371517  -0.28
 -0.13675214  0.23825503  0.45416667  0.22580645 -0.19218241 -0.12533333
  0.43478261  0.37610063  0.33875339  0.08812261 -0.05617978 -0.1423221 ]","[0.03373436 0.02779787 0.0449736  0.03071406 0.04535478 0.05218361
 0.03493656 0.05392346 0.03481473 0.03687818 0.03931731 0.05789018
 0.03738799 0.03978201 0.0406646  0.03249046 0.03960444 0.03622691
 0.04003368 0.03286236 0.04898001 0.03559805 0.06110235 0.04283372]",[0.69169738 0.80918509],0.625,0.7916666666666666,0.875,0.20833333333333334,0.5,0.7916666666666666,"[ 0.50187196 -0.14521927  0.41868426  0.31822846 -1.53700528 -0.01227477
 -2.93670802  0.52506771  0.4945455   0.7172725   0.40442891 -0.42836851]","[ 0.1158904   1.67051863  0.74999803 -0.0760929   1.4740008   0.25000022
 -0.76867987  1.64959883  0.74999071  0.74023253  1.50597     0.30631746]","[-1.77609491 -3.634411   -1.93149788 -2.9129742   0.25957671 -0.01400556
 -3.28690299  0.57234931  0.56347686  1.77415744 -3.24888318  2.11208611]","[ 0.06702482  1.4         0.33182665 -0.12472975  1.61306058  0.25000003
 -0.76517385  1.79999957  0.74999857  0.85123873  1.4         0.44176806]"
"[-0.23845739  1.66617739  0.44357405  0.46027822  1.77296382  0.54341725
 -0.31609468  1.79135542  0.57837752 -0.06100073  1.64284939  0.62581372]","[1.28 1.28 1.28 1.28 1.28 1.48 1.48 1.48 1.48 1.48 1.48 1.48 1.48 1.48
 1.62 1.62 1.62 1.62 1.62 1.62 1.87 1.87 1.87 1.87 1.87 1.87 1.87 1.87
 1.87]","[-0.6  -0.44  0.05  0.34  0.84 -0.75 -0.53 -0.44 -0.16  0.08  0.24  0.3
  0.51  0.76 -0.65 -0.52 -0.12  0.1   0.39  0.76 -0.76 -0.63 -0.45 -0.1
  0.08  0.23  0.45  0.59  0.7 ]","[-0.26557377 -0.2078853  -0.14056225  0.01129235 -0.07465825 -0.46786248
 -0.34382022 -0.30263158 -0.17529215 -0.15481172 -0.05781058 -0.00884956
 -0.00487805 -0.05766063 -0.34730539 -0.37687075 -0.16932907 -0.10638298
 -0.02356902 -0.01265823 -0.5404814  -0.42592593 -0.3453997  -0.06666667
 -0.04310345 -0.01265823  0.06946688  0.05654762 -0.02803738]","[0.03903489 0.04140853 0.06274325 0.03541956 0.03233672 0.03416973
 0.03147654 0.03865362 0.04022625 0.06390478 0.03501288 0.04206867
 0.04032341 0.04052122 0.05131151 0.03416583 0.05570712 0.05127841
 0.0410191  0.05624989 0.02782958 0.06156099 0.0364466  0.03505825
 0.0655922  0.03391996 0.0400963  0.03851411 0.04831782]",[0.35421903 0.91034301],0.6896551724137931,0.7931034482758621,0.9655172413793104,0.7241379310344828,0.9310344827586207,1.0,"[ 0.76347917 -0.46455907 -0.51100319 -1.60504769  0.40029298 -1.85359144
  1.27834369  0.10907218 -1.29620179 -0.71256581 -1.04354833  0.37280514]","[-0.21370958  1.64848367  0.40473277  0.37443642  1.8         0.43052504
 -0.23012386  1.8         0.39849766 -0.1147261   1.40000004  0.74999872]","[ 2.18024686 -1.205791   -1.59718576 -0.08977338 -0.48139202  0.11467969
  0.86909732  0.02425169 -0.31890314 -0.14845256  0.78311056 -0.74077233]","[-0.16125584  1.58827132  0.3187278   0.41472233  1.62535575  0.58329426
 -0.19653051  1.79999961  0.46581278 -0.07432315  1.7999947   0.40366672]"
"[ 0.32749658  1.7059543   0.29208615  0.30723906  1.78274805  0.56731627
  0.12492137  1.50775391  0.72094377 -0.20595146  1.42528728  0.4053001 ]","[1.25 1.25 1.25 1.25 1.25 1.56 1.56 1.56 1.56 1.56 1.56 1.56 1.56 1.56
 1.67 1.67 1.67 1.67 1.67 1.91 1.91 1.91 1.91 1.91 1.91 1.91]","[-0.84 -0.29 -0.07  0.18  0.51 -0.75 -0.64 -0.32 -0.15 -0.08  0.24  0.42
  0.57  0.66 -0.6  -0.37 -0.1   0.48  0.83 -0.8  -0.45 -0.26  0.08  0.19
  0.54  0.66]","[0.08597285 0.00573066 0.07422402 0.14363144 0.30714286 0.24076433
 0.23076923 0.17808219 0.31571995 0.33423181 0.48888889 0.5201005
 0.56907478 0.57928803 0.24053452 0.25732899 0.3125     0.67149758
 0.64183835 0.19367589 0.25735294 0.21136364 0.3451119  0.40776699
 0.49356223 0.52941176]","[0.06701822 0.03784994 0.03663459 0.05151815 0.05687277 0.03464161
 0.03816453 0.03324681 0.03448663 0.03459993 0.05308929 0.03027295
 0.02927415 0.04637072 0.0323907  0.05515102 0.04072739 0.03641849
 0.03052742 0.06167906 0.0585916  0.0329484  0.03221135 0.06361772
 0.05697663 0.03174926]",[1.07045439 0.68570588],0.7307692307692307,0.8846153846153846,1.0,0.5,0.6923076923076923,1.0,"[-0.90277526  0.41277289 -0.79970234 -0.92508739 -0.05186288 -1.2231762
 -3.35801309  0.69329613 -0.95656689 -0.40488672 -0.06320147  0.10099916]","[ 0.31197904  1.71189848  0.27722516  0.21557163  1.76768284  0.36960714
  0.05337892  1.72510161  0.25000425 -0.24969475  1.40004502  0.44250824]","[ 1.17219536e+00 -1.39023120e+00  1.55610398e+00 -4.36212743e-01
 -2.22343944e+00 -1.14084028e+00 -2.04770669e-01 -3.32809659e-01
 -8.48405262e-01  1.95518226e-03  3.58175970e-02  4.83406284e-01]","[ 0.34938638  1.68408516  0.32143405  0.26964132  1.61119781  0.40489888
  0.11296075  1.40000017  0.40135035 -0.20537694  1.43275909  0.61412166]"
"[0.02338474 1.47009219 0.67637563 0.58461848 1.4312437  0.53080021
 0.14810335 1.63766675 0.25119755 0.36636091 1.57596193 0.35393642]","[1.38 1.38 1.38 1.38 1.38 1.38 1.38 1.38 1.38 1.49 1.49 1.49 1.49 1.65
 1.65 1.65 1.65 1.65 1.65 1.99 1.99 1.99 1.99 1.99]","[-0.69 -0.52 -0.33 -0.12 -0.06  0.16  0.45  0.64  0.79 -0.72 -0.13  0.14
  0.49 -0.64 -0.47 -0.17  0.2   0.5   0.63 -0.81 -0.28 -0.17  0.25  0.68]","[-0.16613419 -0.07530648 -0.00959233 -0.05345502 -0.0507177  -0.02725367
  0.01728395  0.23648649  0.51369863 -0.16348195 -0.12786885 -0.07042254
  0.08505747 -0.06378378 -0.03841388 -0.1025641  -0.124197   -0.04823151
  0.18095238 -0.18987342 -0.01761658  0.02065614 -0.06161137  0.16917293]","[0.03941261 0.04172987 0.03462557 0.03605628 0.0308946  0.03236417
 0.04968298 0.05647512 0.05020894 0.04545766 0.04015645 0.04832987
 0.04777257 0.03281285 0.03517569 0.03251365 0.03246766 0.0566388
 0.03918325 0.04175075 0.03218614 0.03485037 0.06871205 0.04273059]",[0.43892264 0.8445574 ],0.625,0.7083333333333334,1.0,0.6666666666666666,0.8333333333333334,1.0,"[ 0.64362607 -0.17836544 -0.48370757  0.94157675 -0.09686072  0.72739413
  1.93795794  0.18592747 -0.02577592  0.60916342  0.7316438   0.64366224]","[0.04700158 1.4        0.49439348 0.69849288 1.40000048 0.61582046
 0.20399652 1.64643357 0.25       0.46970018 1.6557265  0.46531455]","[ 0.88805336 -0.17786335  0.08771741  1.19400719 -0.0719853   0.64784787
  1.59022897 -0.1613705  -0.01634177 -0.65653738  2.12696976 -0.06228372]","[0.05250131 1.40128931 0.71798175 0.72144871 1.41229566 0.73867774
 0.19074572 1.63155622 0.25009326 0.31089973 1.72453019 0.3477786 ]"
"[ 0.06068461  1.62847028  0.33960589 -0.40051846  1.55366323  0.28668546
  0.01213692  1.50186489  0.29516332  0.78889999  1.50132365  0.39052915]","[1.31 1.31 1.31 1.31 1.31 1.31 1.53 1.53 1.53 1.53 1.53 1.53 1.53 1.53
 1.62 1.62 1.62 1.62 1.62 1.97 1.97 1.97 1.97 1.97 1.97]","[-0.59 -0.49 -0.12  0.15  0.35  0.71 -0.66 -0.45 -0.43 -0.07  0.02  0.34
  0.53  0.68 -0.7  -0.33  0.13  0.34  0.56 -0.84 -0.51 -0.21  0.26  0.36
  0.78]","[ 0.56177924  0.504       0.32105263 -0.11804009 -0.33701657 -0.30731707
  0.68652038  0.75757576  0.68770764  0.23537803  0.00100908 -0.39185751
 -0.5399061  -0.57961783  0.6026936   0.57979798 -0.13013699 -0.48790896
 -0.55244755  0.10423453  0.23857868  0.1659919  -0.14524556 -0.15942029
 -0.2195122 ]","[0.03357855 0.03454815 0.04858322 0.03313713 0.04948407 0.04699653
 0.02878658 0.03787624 0.02415936 0.0367083  0.03176603 0.03281624
 0.05767406 0.04598681 0.03274122 0.03662075 0.05802292 0.03292184
 0.03117292 0.04013688 0.03994667 0.04436796 0.03198262 0.06861589
 0.04593967]",[0.17355906 0.79771997],0.36,0.48,0.84,0.88,0.92,1.0,"[-0.95421981 -0.60758529 -1.00335406 -0.81923395  0.46922527 -0.01659066
 -0.86903028  0.7640471   0.20824253 -1.98299511  0.45862015 -1.7146251 ]","[ 0.05253177  1.40011686  0.25000405 -0.43972417  1.57292046  0.28609205
 -0.05028815  1.8         0.37473266  0.61199602  1.52762787  0.3103413 ]","[-0.17541812 -0.56492172 -0.18015301 -0.37503801  0.20301818 -0.07041802
 -0.15322732 -0.29408052  0.12490014 -0.3152334  -0.06385756 -0.18329055]","[ 0.04845045  1.40449807  0.25000311 -0.45953958  1.58234043  0.25209069
 -0.06776669  1.43454739  0.33143545  0.59384636  1.47846149  0.34131654]"
"[-0.16022612  1.76197105  0.37146668  0.02054181  1.59157828  0.26120545
 -0.16844285  1.56581989  0.53404791  0.27526026  1.77668091  0.26030612]","[1.35 1.35 1.35 1.35 1.35 1.35 1.55 1.55 1.55 1.55 1.76 1.76 1.76 1.76
 1.76 1.76 1.76 1.98 1.98 1.98 1.98 1.98 1.98 1.98 1.98 1.98]","[-0.76 -0.32 -0.16  0.27  0.45  0.67 -0.85 -0.27  0.21  0.42 -0.68 -0.39
 -0.2  -0.07  0.34  0.38  0.65 -0.85 -0.59 -0.29 -0.21  0.05  0.21  0.42
  0.62  0.73]","[-0.04782609 -0.06430155 -0.00536673 -0.09756098 -0.11976912 -0.13161132
 -0.36912752  0.         -0.14570858 -0.26117647 -0.18947368  0.00214592
  0.01240135 -0.12359551 -0.30540243 -0.2625     -0.2173913  -0.2760181
 -0.06744868  0.03787879  0.06722689 -0.09465021 -0.18781726 -0.3
 -0.23394495 -0.17948718]","[0.04657189 0.04699071 0.04229488 0.06345352 0.03771342 0.03476646
 0.05383747 0.05345225 0.0441999  0.04682349 0.03561674 0.03275601
 0.03357413 0.06072977 0.03161806 0.03814229 0.06436111 0.06465411
 0.03820478 0.06150158 0.0373394  0.06386203 0.06997914 0.04893605
 0.04656232 0.0328468 ]",[1.67485639 0.31943726],0.5384615384615384,0.7692307692307693,0.8846153846153846,0.5,0.6923076923076923,0.9230769230769231,"[ 1.67052291 -0.6891363  -2.20956381  1.02772603  1.58385093 -0.20788749
  1.80637271  2.43681164 -0.62783744  0.97057089  0.42570767  0.94875141]","[-0.13662782  1.7385839   0.28685224  0.0509552   1.74257588  0.25
 -0.11067163  1.76409839  0.25001475  0.33928481  1.7999999   0.31335389]","[ 1.07818334  0.18285543 -0.62961241  1.75125406  0.448622   -0.13147079
  0.81525734  0.73111032 -0.34008286  1.15210426  0.59657326  0.80153409]","[-0.13651861  1.76872339  0.33115878  0.06911272  1.63022395  0.25000092
 -0.10808072  1.79999989  0.39396977  0.55516432  1.79999982  0.5624998 ]"
"[0.41047388 1.79021591 0.3784627  0.168227   1.44285597 0.28594163
 0.11439436 1.56035419 0.25094391 0.41047388 1.68467015 0.65858043]","[1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.44 1.44 1.44 1.44 1.44 1.63
 1.63 1.63 1.63 1.63 1.63 1.63 1.63 1.63 1.83 1.83 1.83 1.83 1.83 1.83
 1.83]","[-0.84 -0.56 -0.43 -0.14  0.01  0.24  0.52  0.67 -0.76 -0.29 -0.15  0.49
  0.59 -0.7  -0.56 -0.35 -0.19 -0.04  0.16  0.38  0.59  0.75 -0.84 -0.41
 -0.15 -0.1   0.15  0.46  0.62]","[-0.01192053  0.125       0.10893855  0.13402062  0.10633214  0.08310992
  0.14637483  0.24545455  0.15425532  0.26600985  0.20525784  0.25336927
  0.32934132  0.40394089  0.30769231  0.42241379  0.36764706  0.31948052
  0.36652542  0.33103448  0.39493671  0.58411215  0.35193133  0.51758794
  0.41747573  0.42071197  0.31407942  0.37406855  0.41637011]","[0.03639114 0.03543417 0.03714934 0.04499802 0.0343691  0.03648594
 0.03658796 0.03773416 0.05095381 0.03382873 0.0311211  0.03551326
 0.03653262 0.03210266 0.05900865 0.03435712 0.0325553  0.03414888
 0.0302822  0.0554112  0.03268618 0.03923369 0.03066055 0.04288886
 0.0365528  0.03649271 0.05704372 0.03580192 0.03131435]",[0.04252997 0.95278531],0.6896551724137931,0.7931034482758621,0.9655172413793104,0.9655172413793104,1.0,1.0,"[-0.33907298 -0.12075854 -0.78589482  0.5391041  -0.13905116  0.7750414
  2.32444271  0.27408257  1.16405737  1.07348557  0.40022653  0.2493065 ]","[0.39857992 1.78643014 0.35599675 0.19041337 1.40358238 0.34926845
 0.23151497 1.64567201 0.74997773 0.48869861 1.79998642 0.74999767]","[-0.90271881 -0.04179484  0.1086822  -0.42898037 -0.12369603  0.89304451
 -0.48261736  0.41461273  0.39009846 -1.633428    0.33470723 -1.03077787]","[ 0.21823325  1.77516573  0.41403297  0.00242538  1.40266138  0.69616186
 -0.08135994  1.66138967  0.41390561 -0.17641972  1.79963366  0.25000004]"
"[-0.1428641   1.40513566  0.45445691  0.65989609  1.40463717  0.35465454
  0.21089463  1.65289547  0.68235713 -0.21089463  1.59627052  0.577235  ]","[1.24 1.24 1.24 1.24 1.24 1.24 1.24 1.24 1.24 1.45 1.45 1.45 1.45 1.45
 1.45 1.45 1.45 1.77 1.77 1.77 1.77 1.77 1.77 1.77 1.77 1.77 1.92 1.92
 1.92 1.92 1.92 1.92 1.92]","[-0.71 -0.61 -0.44 -0.2   0.08  0.26  0.42  0.58  0.83 -0.66 -0.54 -0.3
 -0.07  0.2   0.25  0.51  0.75 -0.75 -0.54 -0.47 -0.17  0.08  0.26  0.42
  0.51  0.68 -0.81 -0.46 -0.34  0.07  0.26  0.37  0.8 ]","[-0.5943662  -0.55555556 -0.40151515 -0.37755102 -0.04591837  0.07905983
  0.28135593  0.37848606  0.46924829 -0.66531714 -0.5694051  -0.43329658
 -0.34117647 -0.04740406  0.04199773  0.29484536  0.50892857 -0.38596491
 -0.34497817 -0.401507   -0.28505393 -0.04583333  0.07193516  0.08683473
  0.24687144  0.26282051 -0.20361991 -0.23317308 -0.21336761 -0.11284047
  0.01642935  0.11926606  0.18141593]","[0.04268221 0.03548668 0.05636682 0.0467695  0.03567661 0.03258371
 0.05587027 0.04131186 0.02980204 0.0274256  0.03093853 0.02992556
 0.03853621 0.04745802 0.03366113 0.04338906 0.0287576  0.03265662
 0.03581023 0.03004826 0.03762487 0.04559558 0.03174789 0.0527257
 0.03268519 0.03153694 0.06585803 0.03371313 0.04953445 0.06197988
 0.0330907  0.06724512 0.03270761]",[0.78643903 0.32788017],0.42424242424242425,0.5757575757575758,0.9393939393939394,0.6363636363636364,0.8484848484848485,1.0,"[ 3.12836921  1.39634534 -2.43866128  0.26234843  0.01354033 -0.00929365
 -3.6309805  -1.60048238 -1.0123988  -1.33827075 -0.06868802  0.36776904]","[-0.10025669  1.46497273  0.31531524  0.67054068  1.4049659   0.35442556
  0.115592    1.55607787  0.25435433 -0.2948036   1.57601662  0.74995629]","[ 0.07124879 -0.01920287  0.4335773   0.8383144  -0.37130423  0.85361693
 -3.31315484 -2.05141328 -4.09975972 -1.46147866 -0.68429278  0.43421711]","[-0.14042088  1.40000001  0.51545552  0.69348743  1.4         0.3738476
  0.12434016  1.54604053  0.26117069 -0.2952603   1.40127044  0.74999849]"
"[-0.49318768  1.52643301  0.70132747  0.14587241  1.40395877  0.29650304
  0.28479852  1.53712362  0.71966576 -0.63211379  1.73915782  0.42117619]","[1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.44 1.44 1.44 1.44 1.44
 1.44 1.61 1.61 1.61 1.61 1.61 1.61 1.61 1.61 1.61 1.97 1.97 1.97 1.97]","[-0.75 -0.54 -0.34 -0.25  0.    0.25  0.44  0.55  0.76 -0.72 -0.48 -0.01
  0.28  0.38  0.68 -0.8  -0.49 -0.38 -0.28 -0.03  0.12  0.35  0.54  0.81
 -0.43 -0.32  0.21  0.55]","[-0.33483146 -0.50181818 -0.49333333 -0.42093541 -0.33667084 -0.15012107
 -0.06642729 -0.08830549 -0.06419401 -0.4893617  -0.53631285 -0.36936937
 -0.11260054 -0.08172363 -0.01268499 -0.31086142 -0.64814815 -0.64164649
 -0.53680431 -0.36332958 -0.15873016 -0.03097345 -0.04140127 -0.15254237
 -0.4368231  -0.45708155 -0.13023256 -0.00352526]","[0.04466826 0.03688258 0.03176208 0.04280825 0.03331221 0.03440015
 0.04227777 0.03440948 0.03769158 0.04807938 0.0446078  0.0441018
 0.03637976 0.03841823 0.03251019 0.04113022 0.03277036 0.02668736
 0.035749   0.0312469  0.03933585 0.04701348 0.03987013 0.03879405
 0.05404857 0.02913408 0.03380931 0.03427935]",[0.61676593 0.49658509],0.5714285714285714,0.7142857142857143,1.0,0.75,0.9642857142857143,0.9642857142857143,"[ 0.58190666 -0.07752929 -0.73282045  0.17199947  0.07166503  0.13386654
 -1.2456297  -0.34397218  0.08338636  0.61161516 -0.3325892  -0.23667275]","[-0.45028491  1.5226624   0.62148655  0.16223897  1.42406399  0.33391395
  0.22283157  1.4         0.74979972 -0.56144396  1.71334775  0.40137872]","[-1.68220466e-01 -3.80403223e-01 -2.75696903e-02  2.96957730e-01
  1.40959818e-04  1.71499567e-01 -2.18812079e+00  6.16741429e-01
 -1.47213998e+00 -1.96657470e-01  1.69604152e-01  5.00784063e-01]","[-0.52113025  1.44574507  0.69441281  0.1688542   1.40401481  0.31837924
  0.11468375  1.73970511  0.29625174 -0.67574911  1.77500728  0.50638121]"
"[-0.19779319  1.42835273  0.27305865 -0.22709589  1.53699465  0.28032111
  0.08058241  1.54834345  0.56077474  0.24174724  1.4979355   0.26715738]","[1.24 1.24 1.24 1.24 1.24 1.24 1.24 1.24 1.55 1.55 1.55 1.55 1.55 1.55
 1.55 1.55 1.55 1.72 1.72 1.72 1.72 1.72 1.72 1.72 1.72 1.72 1.84 1.84
 1.84 1.84 1.84 1.84 1.84]","[-0.71 -0.47 -0.43 -0.11  0.03  0.33  0.62  0.65 -0.8  -0.54 -0.34 -0.19
  0.    0.22  0.44  0.6   0.67 -0.67 -0.54 -0.4  -0.19  0.    0.11  0.45
  0.52  0.77 -0.68 -0.4  -0.13 -0.07  0.34  0.39  0.7 ]","[-0.05189341 -0.07992895 -0.0627907  -0.22875817 -0.27862209 -0.38757062
 -0.44835165 -0.46606335 -0.07692308  0.06818182  0.01672241 -0.17012448
 -0.27938931 -0.49185668 -0.58039216 -0.527897   -0.53312303 -0.0647482
  0.10322581 -0.03524229 -0.05426357 -0.24712644 -0.25824176 -0.35955056
 -0.42095915 -0.33176471  0.06800446  0.01443299 -0.02586207 -0.09309309
 -0.21224921 -0.29537367 -0.27645051]","[0.03739983 0.04201014 0.03403243 0.03212974 0.03056989 0.03098731
 0.02963108 0.05951482 0.03798409 0.05317614 0.03338436 0.06347665
 0.03751726 0.03513763 0.03605945 0.03212379 0.04751821 0.05985016
 0.05649278 0.03316555 0.05075796 0.05194295 0.05063637 0.04038029
 0.03822885 0.03235706 0.03331173 0.03210472 0.03281563 0.05456169
 0.03175524 0.0569933  0.05614386]",[0.05779521 0.9272299 ],0.48484848484848486,0.6666666666666666,0.9393939393939394,0.9090909090909091,1.0,1.0,"[-1.65445017 -0.67946264  1.18936836 -0.0243948  -0.50815433  0.92388773
 -1.98858318 -0.31001346 -0.7505035   0.41822551  0.14121121 -1.07203535]","[-0.22172329  1.41468148  0.30440157 -0.22825083  1.49755474  0.36457223
  0.03392369  1.44002421  0.25        0.25548811  1.50401504  0.25      ]","[ 0.24432617  0.52941027 -0.01393577 -0.16362636  0.24464621 -0.0823043
 -0.12370038  0.6360575   0.36223781 -0.0382242  -0.17767842  0.90649164]","[-0.1742946   1.50091031  0.26807898 -0.25074498  1.57488803  0.25000001
  0.04381518  1.78160851  0.72673349  0.22505302  1.43240989  0.68179595]"
"[ 0.36143701  1.43667628  0.35533103  0.36938068  1.52718508  0.54649962
 -0.39321169  1.45720169  0.60625654 -0.37732435  1.79012324  0.61805016]","[1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.49 1.49 1.49 1.49 1.49 1.49
 1.49 1.49 1.6  1.6  1.6  1.6  1.6  1.6  1.6  1.6  1.88 1.88 1.88 1.88
 1.88 1.88 1.88 1.88 1.88]","[-0.69 -0.46 -0.43 -0.1   0.12  0.29  0.43  0.78 -0.67 -0.54 -0.33 -0.18
  0.2   0.35  0.6   0.63 -0.78 -0.59 -0.23 -0.1   0.17  0.35  0.44  0.77
 -0.8  -0.49 -0.39 -0.28 -0.03  0.27  0.3   0.64  0.78]","[ 0.08852459  0.27295285  0.27465857  0.42763158  0.50857143  0.59806295
  0.55735057  0.47368421  0.01529052  0.12734864  0.26132404  0.39622642
  0.59183673  0.65686275  0.66958698  0.62432916  0.04615385  0.08826816
  0.35064935  0.45081967  0.50964813  0.65        0.64661654  0.52083333
 -0.07067138  0.06620209  0.04404145  0.12016719  0.25617284  0.41721854
  0.3589404   0.34639175  0.24808743]","[0.04032986 0.03388597 0.03745635 0.05184527 0.02910778 0.03943673
 0.03337166 0.03415188 0.05529366 0.04531915 0.05697697 0.03058811
 0.02973189 0.03732907 0.02627603 0.03303961 0.06195128 0.03329584
 0.03080881 0.05714382 0.02898704 0.04541476 0.02700337 0.0503023
 0.04192804 0.05889864 0.03595587 0.03209117 0.03797285 0.03307484
 0.03396847 0.03012025 0.03202548]",[0.3944631  0.78526641],0.5151515151515151,0.6666666666666666,0.9696969696969697,0.48484848484848486,0.6666666666666666,0.9393939393939394,"[ 0.13647958 -0.95716056  0.3945694  -1.59287107 -0.49586122 -4.72577555
 -1.30103534 -0.14456255  0.28913991  3.18642278  0.02970731 -2.09916767]","[ 0.36431225  1.41830238  0.36443742  0.31177231  1.50748543  0.34483408
 -0.45429737  1.40000161  0.74992834 -0.18547976  1.79999802  0.36199318]","[-0.33082399 -0.09066298  0.62334192 -1.08321083 -1.09290829 -4.39261066
 -0.36717137 -0.20857679  0.39643807  3.68044182 -0.01423822 -1.81550438]","[ 0.35634128  1.43531739  0.36529817  0.33549038  1.4847712   0.3546804
 -0.48917535  1.40000005  0.74883697 -0.16683291  1.78482641  0.38368627]"
"[0.26540983 1.43885133 0.31249173 0.25361384 1.76151564 0.69785184
 0.34798178 1.49182984 0.51335687 0.41875774 1.46756203 0.36563903]","[1.28 1.28 1.28 1.28 1.28 1.28 1.45 1.45 1.45 1.45 1.45 1.45 1.78 1.78
 1.78 1.78 1.92 1.92 1.92 1.92 1.92 1.92 1.92 1.92 1.92]","[-0.71 -0.52 -0.03  0.05  0.55  0.73 -0.61 -0.49 -0.1   0.05  0.46  0.67
 -0.43 -0.4   0.    0.59 -0.79 -0.6  -0.31 -0.16  0.04  0.21  0.43  0.65
  0.77]","[ 0.312       0.35784314  0.20854271  0.14219653  0.11466667  0.37336815
  0.37293729  0.41278066  0.2543554   0.13678619  0.14437086  0.33420708
  0.22222222  0.20737327  0.11516534  0.20833333  0.05490196  0.04873294
  0.09803922  0.04347826  0.09189189 -0.02102102  0.00645161  0.18068966
  0.29436326]","[0.03800328 0.04622908 0.03466476 0.03365552 0.05129916 0.03351856
 0.0376916  0.03785282 0.05708675 0.03609949 0.03601245 0.03412078
 0.05573681 0.06640874 0.03354292 0.04464203 0.04421396 0.04409862
 0.04406742 0.04779125 0.07321039 0.03874065 0.056795   0.03652776
 0.03087706]",[1.47245106 0.62140324],0.6,0.72,1.0,0.44,0.6,0.88,"[-0.66232257  0.25727143  0.45095867 -1.02556483 -1.47207993 -0.87342239
 -0.09222634 -0.00742469  0.316322    0.31173092 -0.11299265  0.05021954]","[0.25201316 1.44890072 0.32934849 0.19803777 1.64531944 0.34364439
 0.3133671  1.49019157 0.59264872 0.47986453 1.4407274  0.37461764]","[ 1.55726126 -2.82002289  3.06392801 -0.22842046  0.10857099 -1.82209275
  0.00422276  0.77643361  0.81538066  1.52463596 -0.23705438  1.52854307]","[0.29413712 1.4        0.40929208 0.23564458 1.79886876 0.44224278
 0.34911223 1.79999993 0.72469349 0.67829327 1.4        0.60973132]"
"[-0.3775882   1.75992232  0.72870553  0.03263108  1.62827559  0.53428135
 -0.21909439  1.70848007  0.38073218  0.3496187   1.56938385  0.51790866]","[1.32 1.32 1.32 1.32 1.32 1.57 1.57 1.57 1.57 1.57 1.57 1.74 1.74 1.74
 1.74 1.74 1.85 1.85 1.85 1.85 1.85 1.85 1.85 1.85]","[-0.58 -0.4  -0.16  0.45  0.8  -0.79 -0.4  -0.13  0.18  0.37  0.67 -0.78
 -0.39  0.01  0.33  0.64 -0.68 -0.48 -0.26 -0.04  0.12  0.23  0.59  0.81]","[-0.08756757 -0.034      -0.08724832 -0.23031204 -0.23913043 -0.29661017
 -0.07894737 -0.03896104 -0.17842324 -0.23322684 -0.29824561 -0.24904943
 -0.03948773 -0.02212389 -0.13953488 -0.23312883 -0.16089613 -0.14079422
 -0.02290076 -0.07027027 -0.08487085 -0.21202003 -0.29842932 -0.37121212]","[0.03275349 0.03160449 0.04080539 0.0375109  0.03826227 0.03108256
 0.06601991 0.05092602 0.04481787 0.05496456 0.03997915 0.02985985
 0.0326431  0.04702453 0.06164823 0.05385879 0.04454139 0.05948567
 0.061764   0.03666986 0.0427987  0.03992998 0.03453013 0.05714818]",[0.02632423 1.29771555],0.5,0.625,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,"[ 0.07073864 -0.31945135  0.04367045 -3.61269293  0.63810019 -0.61019843
  0.06444122 -0.15409574 -0.37384184 -0.89333287 -0.45831585 -0.14803154]","[-0.37612232  1.72122749  0.74994542 -0.03744037  1.79999992  0.25000174
 -0.21393781  1.69368565  0.32955502  0.22880881  1.40000063  0.46521907]","[ 1.18742572  0.10392511 -1.10551496 -0.17294625 -0.4427764   0.48379522
  0.0148231   0.16667174 -0.14399355 -0.14585425  0.41408759  0.19670027]","[-0.1284201   1.79660274  0.40380668 -0.03899073  1.52566449  0.74745501
 -0.21409167  1.76988947  0.34329104  0.26896931  1.7169358   0.60166588]"
